symbol,basis,template,n_quarters,q_first,q_last,n_pnl,a_first,a_last,n_balance_sheet,n_cash_flow,n_ratios,has_bank_rows,has_npa,has_deposits,has_eps,n_values
ADANIENT,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
ADANIPORTS,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,527
APOLLOHOSP,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
ASIANPAINT,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
AXISBANK,consolidated,bank,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,1,0,1,1,503
AXISBANK,standalone,bank,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,1,1,1,1,529
BAJAJ-AUTO,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
BAJAJFINSV,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,527
BAJFINANCE,consolidated,bank,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,1,1,0,1,515
BEL,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
BHARTIARTL,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,527
CIPLA,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
COALINDIA,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,531
DRREDDY,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
EICHERMOT,consolidated,generic,13,2023-06-30,2026-06-30,11,2014-12-31,2026-03-31,12,12,12,0,0,0,1,539
GRASIM,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,551
HCLTECH,consolidated,generic,13,2023-06-30,2026-06-30,11,2015-06-30,2026-03-31,12,12,12,0,0,0,1,515
HDFCBANK,consolidated,bank,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,1,0,1,1,503
HDFCBANK,standalone,bank,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,1,1,1,1,529
HDFCLIFE,consolidated,generic,13,2023-06-30,2026-06-30,12,2015-03-31,2026-03-31,12,12,12,0,0,0,1,527
