snapshot_ts,expiry_ts,strike,cp,bid,ask,mid,iv_mid,oi,volume
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24100,CE,318.5,320.5,319.5,0.124,14000,68000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24100,PE,14.5,15.5,15.0,0.143,42000,195000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24200,CE,228.0,230.0,229.0,0.121,21000,98000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24200,PE,23.5,24.5,24.0,0.139,58000,240000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24300,CE,150.0,151.0,150.5,0.117,31000,165000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24300,PE,46.0,47.0,46.5,0.136,75000,340000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24400,CE,90.5,91.5,91.0,0.114,48000,230000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24400,PE,85.5,86.5,86.0,0.132,38000,175000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24500,CE,47.5,48.5,48.0,0.110,65000,310000
2026-07-06T13:30:00.000Z,2026-07-09T15:30:00.000Z,24500,PE,142.5,144.5,143.5,0.129,19000,85000
