symbol,statement,time_period,rows,oldest,newest
COFORGE,balance,yearly,40,2022-03-31,2025-03-31
COFORGE,cashflow,yearly,56,2022-03-31,2025-03-31
COFORGE,income,quarterly,48,2022-03-31,2026-06-30
COFORGE,income,yearly,48,2022-03-31,2026-03-31
HCLTECH,balance,yearly,40,2023-03-31,2026-03-31
HCLTECH,cashflow,yearly,56,2023-03-31,2026-03-31
HCLTECH,income,quarterly,48,2023-03-31,2026-06-30
HCLTECH,income,yearly,48,2023-03-31,2026-03-31
INFY,balance,yearly,40,2023-03-31,2026-03-31
INFY,cashflow,yearly,56,2023-03-31,2026-03-31
INFY,income,quarterly,48,2023-03-31,2026-06-30
INFY,income,yearly,48,2023-03-31,2026-03-31
LTIM,balance,yearly,40,2023-03-31,2026-03-31
LTIM,cashflow,yearly,56,2023-03-31,2026-03-31
LTIM,income,quarterly,48,2023-03-31,2026-06-30
LTIM,income,yearly,48,2023-03-31,2026-03-31
LTTS,balance,yearly,40,2023-03-31,2026-03-31
LTTS,cashflow,yearly,56,2023-03-31,2026-03-31
LTTS,income,quarterly,48,2023-03-31,2026-06-30
LTTS,income,yearly,48,2023-03-31,2026-03-31
MPHASIS,balance,yearly,40,2023-03-31,2026-03-31
MPHASIS,cashflow,yearly,56,2023-03-31,2026-03-31
MPHASIS,income,quarterly,48,2023-03-31,2026-06-30
MPHASIS,income,yearly,48,2023-03-31,2026-03-31
PERSISTENT,balance,yearly,40,2023-03-31,2026-03-31
PERSISTENT,cashflow,yearly,56,2023-03-31,2026-03-31
PERSISTENT,income,quarterly,48,2023-03-31,2026-03-31
PERSISTENT,income,yearly,48,2023-03-31,2026-03-31
TCS,balance,yearly,40,2023-03-31,2026-03-31
TCS,cashflow,yearly,56,2023-03-31,2026-03-31
TCS,income,quarterly,48,2023-03-31,2026-06-30
TCS,income,yearly,48,2023-03-31,2026-03-31
TECHM,balance,yearly,40,2023-03-31,2026-03-31
TECHM,cashflow,yearly,56,2023-03-31,2026-03-31
TECHM,income,quarterly,48,2023-03-31,2026-06-30
TECHM,income,yearly,48,2023-03-31,2026-03-31
WIPRO,balance,yearly,40,2023-03-31,2026-03-31
WIPRO,cashflow,yearly,56,2023-03-31,2026-03-31
WIPRO,income,quarterly,48,2023-03-31,2026-06-30
WIPRO,income,yearly,48,2023-03-31,2026-03-31
