category,period_label,period_end,pct
fii,Jun 2026,2026-06-30,27.09
fii,Mar 2026,2026-03-31,28.45
fii,Dec 2025,2025-12-31,30.26
fii,Sep 2025,2025-09-30,30.08
mutual_funds,Jun 2026,2026-06-30,23
mutual_funds,Mar 2026,2026-03-31,23.5
mutual_funds,Dec 2025,2025-12-31,22.12
mutual_funds,Sep 2025,2025-09-30,22.73
other_dii,Jun 2026,2026-06-30,19.97
other_dii,Mar 2026,2026-03-31,19.88
other_dii,Dec 2025,2025-12-31,19.15
other_dii,Sep 2025,2025-09-30,18.92
promoters,Jun 2026,2026-06-30,13.82
promoters,Mar 2026,2026-03-31,14.38
promoters,Dec 2025,2025-12-31,14.52
promoters,Sep 2025,2025-09-30,14.3
retail_and_other,Jun 2026,2026-06-30,16.13
retail_and_other,Mar 2026,2026-03-31,13.78
retail_and_other,Dec 2025,2025-12-31,13.95
retail_and_other,Sep 2025,2025-09-30,13.97
