CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,65,"11,143.70","12,364.25",130,"12,000.00","18,395",0.15,0.30,"6,760",-0.05,0.30,383.77,"1,872",-65,"1,196",
,-,-,-,-,-,-,-,-,-,-,"13,000.00","11,180",0.15,0.20,195,-0.15,0.20,356.03,587,42,297,
,-,-,-,-,-,-,-,-,-,-,"14,000.00",455,0.25,0.50,"24,310",-0.15,0.25,301.81,995,-69,801,
,-,-,-,-,-,-,"1,690","8,132.05","9,287.00","1,690","15,000.00","3,380",0.30,0.35,"2,795",0.05,0.35,271.50,"2,331",-284,"1,927",
,-,-,-,-,-,-,-,-,-,-,"16,000.00","14,495",0.20,0.30,"3,055",-0.15,0.20,226.68,983,-252,"2,261",
,-,-,-,-,-,-,130,"6,710.15","7,792.60",130,"16,500.00",650,0.20,0.30,455,-,0.25,213.74,537,-125,239,
,169,-15,31,306.20,"6,001.25",-109.00,780,"5,389.95","5,980.60",65,"18,000.00","68,380",0.15,0.20,"1,03,805",-0.15,0.15,160.49,"7,763",-219,"10,658",
,"3,693","-1,229","3,015",234.56,"4,980.00",-118.80,65,"4,972.65","4,991.30",195,"19,000.00","6,955",0.30,0.35,"7,475",-0.10,0.35,140.54,"5,103",219,"16,470",
,49,-41,95,200.67,"4,473.70",-106.30,65,"4,433.35","4,491.85",65,"19,500.00","4,485",0.30,0.40,"3,835",-0.15,0.35,124.31,"1,279",-14,"1,487",
,-,-,-,-,-,-,-,-,-,-,"20,000.00","4,48,435",0.15,0.20,"1,11,605",-0.35,0.15,104.33,"18,170","-4,995","19,766",
,-,-,-,-,-,-,780,"3,328.55","4,054.25",780,"20,100.00","7,410",0.20,0.40,"20,605",-0.25,0.20,107.22,"3,900",-12,721,
,-,-,-,-,-,-,780,"3,284.30","4,005.70","1,690","20,150.00",845,0.30,0.40,"1,170",-0.20,0.30,105.81,834,76,469,
,2,-,1,219.38,"3,829.00",739.75,780,"3,425.60","3,950.80",780,"20,200.00","7,735",0.20,0.30,585,-0.30,0.20,104.41,"1,250",10,530,
,-,-,-,-,-,-,780,"3,195.60","3,902.05",780,"20,250.00",390,0.20,0.25,390,-0.30,0.25,101.51,646,-48,398,
,1,-13,14,174.18,"3,680.00",30.00,780,"3,290.85","3,759.75",65,"20,300.00",65,0.25,0.40,"3,965",-0.30,0.25,104.06,"1,096",-69,657,
,-,-,-,-,-,-,"1,690","3,119.85","3,796.15",780,"20,350.00",325,0.30,0.45,325,-0.30,0.30,98.75,939,74,673,
,-,-,-,-,-,-,780,"3,502.65","3,632.30","1,170","20,400.00","1,365",0.30,0.50,130,-0.15,0.45,100.07,"1,177",-41,448,
,1,-,-,-,-,-,780,"3,194.70","3,589.15",780,"20,450.00",130,0.30,0.45,650,-0.35,0.30,98.67,719,37,261,
,503,-4,153,147.34,"3,478.80",-121.20,195,"3,440.40","3,487.90",65,"20,500.00","3,17,655",0.15,0.20,"1,62,825",-0.30,0.15,94.62,"16,104",-419,"13,904",
,-,-,-,-,-,-,780,"3,271.65","3,491.45",780,"20,550.00",585,0.30,0.35,"1,820",-0.30,0.30,95.85,770,46,254,
,2,-6,7,202.70,"3,434.80",778.80,780,"3,071.50","3,433.75",780,"20,600.00","1,170",0.30,0.35,"6,045",-0.35,0.30,94.45,"3,470",-345,"1,997",
,-,-,-,-,-,-,780,"2,979.60","3,405.15","1,690","20,650.00",780,0.25,0.35,845,-0.25,0.35,90.51,484,-16,140,
,1,-,-,-,-,-,780,"3,194.15","3,332.55",780,"20,700.00","7,540",0.20,0.25,"9,490",-0.35,0.20,89.14,"1,674",41,"1,309",
,-,-,-,-,-,-,780,"2,894.70","3,382.60",780,"20,750.00","10,010",0.20,0.30,"1,105",-0.35,0.20,87.78,824,-29,818,
,1,-,-,-,-,-,780,"2,890.60","3,230.25",780,"20,800.00","35,490",0.20,0.30,"20,410",-0.30,0.20,86.42,"2,368",-173,"1,673",
,-,-,-,-,-,-,780,"2,802.85","3,409.00",780,"20,850.00","5,330",0.35,0.40,"2,730",-0.25,0.40,88.47,"2,202",-245,974,
,2,-,-,-,-,-,780,"2,772.80","3,134.70",780,"20,900.00","1,105",0.30,0.35,"3,445",-0.20,0.35,84.96,"65,269",396,"43,351",
,1,-,-,-,-,-,65,"2,735.65","3,083.90",780,"20,950.00","4,07,095",0.20,0.25,"26,715",-0.25,0.25,82.34,"18,965",9,"7,074",
,"6,684",-163,"3,012",148.49,"2,981.20",-123.40,65,"2,978.85","2,985.05",65,"21,000.00","70,070",0.30,0.35,"47,775",-0.35,0.35,84.26,"64,895","-7,393","44,534",
,-,-,-,-,-,-,780,"2,659.80","3,109.90","2,470","21,050.00","1,235",0.45,0.55,"9,555",-0.25,0.55,85.24,"1,714",44,412,
,36,-26,35,116.79,"2,862.15",-145.10,780,"2,816.25","2,928.90",780,"21,100.00","5,590",0.40,0.45,585,-0.40,0.45,82.31,"3,674",-213,"1,198",
,1,-,-,-,-,-,"1,690","2,545.00","2,946.90",780,"21,150.00","2,405",0.30,0.55,650,-0.55,0.30,81.67,"1,208",38,423,
,1,-1,1,108.81,"2,760.00",430.00,65,"2,515.60","2,890.15","1,690","21,200.00","21,710",0.35,0.40,"13,585",-0.45,0.35,78.67,"6,620","-1,139","4,373",
,1,-,-,24.31,-,-,"1,560","2,637.50","2,900.40",780,"21,250.00","3,900",0.50,0.55,650,-0.35,0.55,78.83,"2,309",-141,"1,090",
,2,-,-,20.17,-,-,780,"2,591.00","2,721.45",780,"21,300.00","1,885",0.40,0.50,325,-0.40,0.45,76.68,"4,405",-837,"1,740",
,1,-,-,33.11,-,-,780,"2,495.10","2,787.90",780,"21,350.00","1,040",0.40,0.55,325,-0.30,0.55,77.30,831,-49,332,
,-,-,-,-,-,-,780,"2,400.15","2,874.10",780,"21,400.00","5,785",0.50,0.65,260,-0.45,0.50,75.25,"5,655","-1,141","2,736",
,1,-,-,-,-,-,780,"2,400.50","2,686.90",780,"21,450.00",520,0.50,0.70,455,-0.40,0.60,75.00,"1,242",-,379,
,"1,014",-665,"1,114",109.85,"2,478.40",-113.85,65,"2,472.50","2,484.80",65,"21,500.00","69,095",0.60,0.65,"6,240",-0.40,0.60,73.56,"57,986","-15,998","27,042",
,2,-,-,-,-,-,65,"2,159.35","2,469.05",780,"21,550.00",910,0.55,0.75,"1,365",-0.35,0.65,72.12,"1,549",3,303,
,3,-,-,-,-,-,65,"2,112.10","2,420.90",780,"21,600.00","2,600",0.55,0.65,"1,040",-0.40,0.65,70.68,"10,795","-1,854","1,739",
,3,-,-,26.77,-,-,780,"2,256.35","2,369.05",780,"21,650.00","7,020",0.55,0.60,325,-0.45,0.60,69.24,"2,341",-198,"1,112",
,11,-,-,-,-,-,780,"2,211.20","2,317.05",780,"21,700.00","4,420",0.50,0.55,"17,225",-0.55,0.50,67.29,"9,642",-662,"3,985",
,14,-,-,-,-,-,"1,690","1,969.65","2,264.20",780,"21,750.00",845,0.60,0.70,"1,950",-0.50,0.65,66.37,"4,613",-81,865,
,13,-,1,109.29,"2,180.00",745.00,845,"1,957.85","2,219.95",780,"21,800.00","2,55,190",0.55,0.60,"1,08,745",-0.60,0.55,63.90,"43,945","-5,491","22,597",
,6,-,-,-,-,-,780,"2,057.95","2,185.60",780,"21,850.00","2,600",0.50,0.70,845,-0.65,0.50,61.92,"5,445",-198,696,
,7,-,-,-,-,-,780,"2,016.50","2,118.40",780,"21,900.00","5,460",0.60,0.65,"1,365",-0.60,0.60,62.07,"11,360","-1,407","5,452",
,11,-,-,26.20,-,-,780,"1,786.80","2,060.00",65,"21,950.00","5,980",0.50,0.60,"3,510",-0.70,0.50,59.66,"8,136",200,"1,815",
,"9,169","-1,334","4,163",91.97,"1,970.55",-126.25,130,"1,969.00","1,976.65",130,"22,000.00","9,360",0.70,0.75,"1,90,840",-0.55,0.75,60.06,"1,26,183","-27,731","68,293",
,5,-,-,59.04,-,-,780,"1,695.10","1,968.20",780,"22,050.00","7,865",0.65,0.70,"1,170",-0.60,0.70,58.21,"5,895",-450,"1,260",
,17,-,-,174.59,-,-,780,"1,653.30","1,915.60",780,"22,100.00","3,380",0.60,0.75,780,-0.65,0.60,56.34,"33,557",352,"5,546",
,28,-8,28,90.26,"1,825.00",-225.00,780,"1,607.20","1,866.95",780,"22,150.00","21,905",0.60,0.65,"6,305",-0.65,0.60,55.33,"13,238",49,"2,202",
,33,-4,13,-,"1,776.60",-98.65,780,"1,750.05","1,797.55",780,"22,200.00","4,485",0.70,0.75,"2,730",-0.60,0.75,54.27,"34,413","-3,017","16,428",
,8,-2,2,79.88,"1,718.00",-14.15,780,"1,667.60","1,768.50",780,"22,250.00","1,040",0.65,0.70,"10,075",-0.75,0.70,52.82,"10,886",-108,"2,569",
,38,-9,18,-,"1,647.65",-151.65,130,"1,633.35","1,715.35",780,"22,300.00","5,135",0.75,0.80,"4,615",-0.65,0.75,51.72,"43,914","-5,172","12,804",
,8,-4,4,128.78,"1,726.10",806.10,780,"1,548.80","1,648.20",780,"22,350.00","5,265",0.60,0.65,"2,080",-0.85,0.60,50.26,"20,672",611,"3,312",
,29,-1,4,83.32,"1,580.15",123.25,65,"1,557.25","1,590.45",65,"22,400.00","1,89,020",0.75,0.80,"59,865",-0.70,0.75,48.47,"49,398","-4,205","9,623",
,26,-,1,135.56,"1,664.10",54.10,780,"1,468.35","1,546.50",780,"22,450.00","17,550",0.75,0.80,"6,955",-0.90,0.75,47.35,"17,081",-703,"2,376",
,"3,936",-491,"1,929",73.60,"1,475.75",-122.35,130,"1,474.05","1,479.20",65,"22,500.00","4,45,510",0.70,0.75,"68,185",-1.00,0.70,46.19,"2,83,681","-30,976","78,800",
,41,-,-,117.28,-,-,780,"1,373.70","1,447.10","2,535","22,550.00","6,305",0.70,0.75,"6,630",-1.00,0.70,44.43,"15,992",301,"2,673",
,91,-9,61,72.67,"1,369.15",-138.55,195,"1,366.55","1,388.15",260,"22,600.00","20,605",0.70,0.75,"57,980",-1.15,0.70,43.25,"86,866","-8,275","11,629",
,20,-1,4,69.46,"1,325.75",176.40,"2,535","1,268.10","1,338.35","1,755","22,650.00","13,260",0.70,0.75,"3,835",-1.10,0.70,41.78,"25,498",-420,"3,552",
,76,-18,28,65.78,"1,275.00",-127.80,390,"1,259.35","1,280.60",65,"22,700.00","3,120",0.70,0.75,"49,725",-1.25,0.70,39.76,"1,74,513","-4,894","22,972",
,38,-5,9,-,"1,197.80",-158.15,"2,535","1,168.45","1,259.25","2,535","22,750.00","11,765",0.75,0.80,"7,410",-1.15,0.80,38.83,"57,960",686,"8,549",
,528,-14,197,65.96,"1,173.40",-113.55,845,"1,165.80","1,181.10",65,"22,800.00","13,260",0.90,0.95,"19,630",-1.05,0.90,38.06,"2,70,071","-1,457","42,959",
,85,-2,5,52.13,"1,114.00",-317.30,65,"1,110.70","1,132.70",390,"22,850.00","18,720",0.95,1.00,"12,870",-1.10,0.95,36.56,"78,705","1,249","6,749",
,293,11,201,61.37,"1,074.35",-125.45,195,"1,072.90","1,079.65",130,"22,900.00","6,110",0.90,0.95,"16,965",-1.20,0.90,34.84,"2,50,881","8,287","36,666",
,79,-4,18,55.68,"1,024.65",-121.25,130,"1,016.95","1,029.20",65,"22,950.00","5,590",1.00,1.05,"32,045",-1.25,1.05,33.93,"1,00,224",462,"14,291",
,"16,010","-1,143","6,521",58.22,976.40,-121.90,"1,040",976.40,977.75,65,"23,000.00","78,650",1.15,1.20,"37,895",-1.30,1.20,32.92,"10,19,790","3,408","1,63,071",
,164,-16,60,-,922.05,-119.55,65,920.60,928.05,130,"23,050.00","13,065",1.15,1.20,"9,945",-1.40,1.20,31.04,"1,72,861",-197,"9,600",
,"1,408",-249,"1,188",45.57,874.15,-119.30,260,872.95,880.20,65,"23,100.00","20,865",1.20,1.25,650,-1.45,1.25,29.66,"3,52,631","4,106","40,510",
,314,-41,80,-,821.80,-131.95,65,822.50,827.85,65,"23,150.00","86,255",1.30,1.35,"4,875",-1.65,1.30,28.54,"2,86,395","5,382","16,902",
,"7,929",-15,"2,670",45.14,775.65,-123.00,130,775.85,777.75,65,"23,200.00","14,170",1.40,1.45,"12,220",-1.75,1.40,27.09,"7,98,242","23,036","82,404",
,"1,711",-141,302,28.16,722.65,-126.30,65,722.95,725.70,65,"23,250.00","16,510",1.40,1.45,"65,000",-2.05,1.40,26.08,"5,20,036","12,142","27,917",
,"7,105",-553,"2,091",37.00,673.25,-118.45,130,675.15,677.15,65,"23,300.00","1,80,115",1.45,1.50,"56,875",-2.15,1.50,24.45,"11,66,985","12,061","75,841",
,645,-258,449,35.33,621.55,-122.80,130,621.65,625.85,65,"23,350.00","7,215",1.75,1.80,"17,745",-2.50,1.75,23.47,"12,18,493","7,453","39,859",
,"5,478","-1,075","3,030",37.58,576.00,-120.50,65,573.45,577.40,130,"23,400.00","23,400",2.05,2.10,"7,020",-2.60,2.10,22.02,"16,09,823","-7,171","61,389",
,868,-165,977,31.75,522.70,-131.15,130,523.30,526.70,130,"23,450.00","51,740",2.40,2.45,"13,845",-3.05,2.45,20.87,"11,64,083","19,761","37,518",
,"46,373","-2,713","33,233",30.74,473.85,-123.35,585,473.85,475.20,325,"23,500.00","83,720",3.00,3.05,"29,900",-3.55,3.00,19.81,"20,26,312","25,668","1,94,232",
,"1,122",-126,"3,340",30.06,424.65,-129.00,260,425.05,427.35,130,"23,550.00","11,115",3.50,3.55,"5,785",-4.45,3.50,18.70,"12,27,556","23,262","47,055",
,"15,079",-630,"27,235",27.61,378.00,-125.80,65,376.85,378.00,65,"23,600.00","10,075",4.60,4.65,"29,770",-5.00,4.60,17.62,"20,39,283","16,391","1,18,164",
,"1,943",278,"13,339",25.55,328.35,-124.10,130,328.60,329.75,260,"23,650.00",130,6.35,6.40,"15,665",-5.65,6.40,16.76,"14,91,240","31,025","57,615",
,"7,651",-843,"93,101",23.18,282.45,-126.95,195,281.80,282.70,325,"23,700.00","2,730",9.45,9.50,"5,070",-5.80,9.45,16.14,"29,96,682","50,627","1,20,222",
,"4,543","1,646","69,973",21.45,236.00,-127.55,585,236.05,236.80,130,"23,750.00","1,560",13.50,13.55,"1,755",-5.85,13.50,15.34,"24,74,799","37,958","69,816",
,"34,274",-790,"5,11,348",19.96,192.75,-124.85,325,192.75,193.40,260,"23,800.00","4,810",20.65,20.75,585,-4.00,20.65,14.90,"50,54,225","66,395","1,79,052",
,"17,021","10,080","4,63,574",18.89,152.80,-123.05,715,152.40,152.90,390,"23,850.00","2,860",30.50,30.65,"1,235",-1.25,30.55,14.30,"39,93,696","28,006","77,351",
,"68,513","36,593","21,27,769",17.98,117.60,-116.95,65,117.60,117.95,260,"23,900.00",455,45.15,45.30,715,4.75,45.35,13.92,"78,65,694","76,464","1,85,597",
,"1,11,828","98,085","36,45,046",17.43,86.70,-107.65,65,86.75,87.05,845,"23,950.00",650,65.15,65.20,65,13.05,65.15,13.35,"71,35,655","67,476","1,17,776",
,"3,15,810","1,83,041","76,31,510",17.20,62.95,-96.65,"1,820",62.95,63.00,"1,885","24,000.00",780,90.25,90.45,455,23.35,90.40,13.15,"1,02,24,901","17,214","2,10,193",
,"1,39,856","1,04,593","56,26,212",17.22,45.20,-83.05,715,45.20,45.25,65,"24,050.00",455,122.70,122.90,130,36.95,123.00,12.91,"57,61,839","8,780","43,916",
,"2,95,982","1,75,583","93,57,113",17.58,31.95,-69.30,"1,755",31.80,31.95,"3,055","24,100.00",195,158.85,159.00,195,50.70,158.90,12.15,"60,57,190","-11,273","82,673",
,"1,30,340","75,823","48,13,120",17.89,22.65,-55.00,"4,745",22.65,22.75,"4,550","24,150.00",650,199.35,200.05,455,64.55,199.50,10.95,"17,22,171","-14,797","14,964",
,"2,37,471","79,115","53,93,001",18.39,15.95,-42.65,"2,665",15.90,15.95,"3,575","24,200.00",325,242.75,243.45,325,77.25,242.75,-,"15,23,853","-28,894","45,867",
,"1,11,051","45,339","25,76,309",18.72,11.10,-32.90,"2,990",11.10,11.15,"1,885","24,250.00",195,288.25,289.05,585,88.00,288.35,-,"3,06,778","-5,493","6,724",
,"2,08,373","75,753","32,55,596",19.10,7.80,-23.90,"6,175",7.80,7.85,"10,075","24,300.00",130,334.55,335.60,130,95.85,334.30,-,"3,12,285","-3,806","18,547",
,"88,270","37,120","19,01,883",19.85,5.80,-17.55,"36,660",5.80,5.85,"3,835","24,350.00",260,382.35,383.60,195,105.55,386.00,-,"51,636",-519,"4,153",
,"1,43,073","44,861","17,69,394",20.80,4.70,-12.35,"4,160",4.70,4.75,"10,530","24,400.00",65,431.35,433.25,65,108.90,433.40,-,"60,625","-1,069","6,963",
,"62,487","23,763","10,14,653",21.64,3.90,-9.05,"9,685",3.90,3.95,"15,015","24,450.00",130,480.75,482.80,130,113.20,483.15,-,"10,649",468,"2,905",
,"2,20,425","38,585","18,83,902",22.77,3.40,-6.60,"21,385",3.40,3.45,910,"24,500.00",130,530.25,531.60,65,115.70,531.45,-,"55,636","-4,689","18,361",
,"53,394","11,855","9,57,274",23.67,2.80,-4.75,"16,900",2.80,2.85,"50,050","24,550.00",65,578.20,582.65,130,119.70,582.60,-,"1,754",183,"1,102",
,"1,04,273","30,892","12,74,851",24.68,2.50,-3.40,"7,280",2.50,2.55,"9,230","24,600.00",130,629.45,631.10,"1,300",123.75,633.00,-,"7,890","-1,235","3,274",
,"50,144","23,257","6,98,033",25.91,2.30,-2.60,"18,590",2.25,2.30,"14,690","24,650.00",130,676.90,683.45,130,123.05,681.60,-,379,23,215,
,"98,117","39,151","9,74,266",26.96,2.10,-1.85,"56,030",2.10,2.15,"24,895","24,700.00",65,727.20,730.95,130,124.35,732.40,-,"2,488","-1,112","1,331",
,"26,590","4,445","3,96,915",28.37,1.95,-1.40,"11,115",1.95,2.00,"61,815","24,750.00",65,775.00,784.30,130,120.25,781.90,-,280,-39,134,
,"95,821","-1,170","8,73,398",29.63,1.80,-0.95,"17,095",1.80,1.85,"15,405","24,800.00","1,755",827.80,834.85,130,126.95,832.70,-,"2,180",-776,"1,725",
,"23,209","6,014","3,16,786",30.72,1.65,-1.00,"22,815",1.60,1.65,65,"24,850.00",65,874.80,886.45,130,139.05,893.90,-,70,11,128,
,"50,033","17,272","4,79,732",31.89,1.55,-0.80,"38,415",1.50,1.55,"9,360","24,900.00",195,925.00,935.40,65,126.20,932.15,-,"1,087",-565,514,
,"30,495","16,766","2,52,957",33.17,1.45,-0.70,"31,200",1.45,1.50,"13,455","24,950.00",65,972.85,985.60,520,153.10,993.70,-,30,7,36,
,"2,79,980","81,505","11,43,158",34.43,1.50,-0.50,"40,235",1.45,1.50,"1,05,105","25,000.00",455,"1,034.25","1,034.90",130,127.90,"1,034.25",-,"26,444","-3,453","41,226",
,"18,203","3,911","1,20,865",35.12,1.25,-0.50,"19,175",1.20,1.25,"32,630","25,050.00",65,"1,071.55","1,128.00",845,123.10,"1,083.00",-,23,11,24,
,"65,367","20,127","3,86,761",36.68,1.15,-0.40,"4,940",1.15,1.20,"7,150","25,100.00",195,"1,124.05","1,131.15",195,123.10,"1,131.30",-,704,-493,487,
,"21,284","9,627","1,04,197",37.21,1.00,-0.35,"22,360",0.95,1.00,"2,340","25,150.00",65,"1,163.15","1,228.80","2,340",108.15,"1,182.00",-,23,14,34,
,"83,722","-5,832","4,55,797",38.07,1.00,-0.45,715,0.95,1.00,"15,470","25,200.00",130,"1,223.10","1,232.85",130,131.25,"1,232.00",-,377,-252,405,
,"20,169","7,128","94,728",39.64,0.95,-0.35,"1,950",0.95,1.00,"1,19,080","25,250.00","2,535","1,240.95","1,329.85","2,535",53.85,"1,236.45",-,5,5,7,
,"33,831","-5,819","1,79,080",40.69,0.95,-0.10,"10,985",0.90,0.95,"4,485","25,300.00",130,"1,319.75","1,353.40",65,146.45,"1,354.45",55.46,111,-63,172,
,"6,182",806,"32,555",42.00,0.90,-0.15,"3,510",0.85,0.90,"1,560","25,350.00",130,"1,362.55","1,476.75",65,-58.00,"1,377.00",-,28,4,20,
,"20,513","-1,168","92,831",43.01,0.95,0.05,"6,175",0.90,0.95,"4,355","25,400.00","2,600","1,386.30","1,438.00",65,260.95,"1,448.95",49.88,101,-63,153,
,"7,386","1,106","24,606",43.99,0.75,-0.10,"19,370",0.75,0.80,"51,220","25,450.00","2,600","1,434.35","1,524.80",65,247.60,"1,497.60",47.24,10,5,8,
,"1,07,832","-1,074","4,55,925",44.93,0.75,-0.10,"2,76,055",0.75,0.80,"1,98,640","25,500.00",130,"1,529.55","1,535.40",65,128.80,"1,535.25",-,"10,859","-1,378","18,840",
,"5,084","-1,999","34,480",47.42,0.85,0.10,"21,775",0.80,0.85,"10,985","25,550.00",845,"1,547.35","1,696.00",780,-4.45,"1,462.05",-,4,2,28,
,"19,364","-3,817","71,707",47.77,0.65,-0.10,780,0.70,0.80,"7,410","25,600.00",65,"1,630.55","1,680.65","1,495",126.05,"1,643.95",-,132,-66,127,
,"2,472","-2,346","21,536",49.67,0.75,0.05,"9,620",0.75,0.90,"3,380","25,650.00",325,"1,660.25","1,733.50","1,690",140.00,"1,670.00",-,8,-,19,
,"10,209","-13,690","83,476",50.60,0.80,0.15,"6,955",0.75,0.80,"5,590","25,700.00",780,"1,682.60","1,741.60",195,124.75,"1,731.00",-,226,-153,172,
,"2,656","-2,886","22,275",51.85,0.80,0.15,"8,450",0.80,0.85,"1,690","25,750.00",780,"1,731.90","1,833.05",780,120.00,"1,790.00",-,4,-,4,
,"16,572","-1,119","28,777",52.73,0.65,-,"7,150",0.65,0.70,"5,265","25,800.00",780,"1,695.60","1,872.40",195,135.25,"1,840.00",-,107,-75,153,
,"2,637",-184,"12,797",53.59,0.65,-,"5,005",0.65,0.70,"2,860","25,850.00",780,"1,695.35","1,923.10",845,-,-,-,-,-,21,
,"8,927","-1,352","33,791",55.18,0.55,-0.10,"1,300",0.55,0.60,"13,065","25,900.00",780,"1,881.30","2,009.15",780,140.00,"1,925.00",-,13,-4,48,
,"2,999",-874,"14,662",56.40,0.60,-0.05,"23,855",0.60,0.65,"3,640","25,950.00",780,"1,919.00","2,036.20",780,90.10,"1,990.00",-,10,-5,16,
,"88,193","-17,525","1,66,783",56.80,0.55,-0.05,"1,22,590",0.55,0.60,"14,560","26,000.00",520,"2,035.00","2,037.30",65,127.35,"2,037.80",-,"16,100","-3,749","45,115",
,"1,358",152,"17,607",57.99,0.50,-0.15,845,0.65,0.70,780,"26,050.00",780,"2,030.45","2,131.85","1,365",11.60,"2,080.00",-,1,-,20,
,"3,587",572,"10,961",59.18,0.60,-0.05,"3,575",0.55,0.65,"16,510","26,100.00",780,"2,080.05","2,181.60",780,133.55,"2,148.00",66.74,100,-65,71,
,844,123,"2,317",61.22,0.60,-0.05,325,0.60,0.70,"2,470","26,150.00",780,"2,107.65","2,289.80",780,-,-,27.83,-,-,1,
,"1,419",187,"12,871",61.55,0.50,-0.05,"1,300",0.55,0.60,390,"26,200.00",65,"2,225.00","2,249.25",195,161.55,"2,260.15",91.41,137,-79,139,
,741,131,"2,586",61.18,0.50,-0.10,65,0.45,0.55,"7,345","26,250.00",780,"2,028.40","2,359.30",780,-,-,38.09,-,-,1,
,"5,009","2,475","33,068",63.40,0.45,-0.05,"1,19,015",0.40,0.45,"7,735","26,300.00",780,"2,280.30","2,378.55",65,119.55,"2,354.15",86.66,98,-67,178,
