Symbol,Company Name,Sector,Weight
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,1.0
ADANIPORTS,Adani Ports and SEZ Ltd.,Services,0.9
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,0.6
ASIANPAINT,Asian Paints Ltd.,Consumer Durables,1.2
AXISBANK,Axis Bank Ltd.,Financial Services,3.1
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile,0.7
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,2.4
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,1.2
BEL,Bharat Electronics Ltd.,Capital Goods,0.45
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,4.3
CIPLA,Cipla Ltd.,Healthcare,0.7
COALINDIA,Coal India Ltd.,Metals & Mining,1.1
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,0.7
EICHERMOT,Eicher Motors Ltd.,Automobile,0.6
ZOMATO,Zomato Ltd.,Consumer Services,0.35
GRASIM,Grasim Industries Ltd.,Cement,0.9
HCLTECH,HCL Technologies Ltd.,Information Technology,1.6
HDFCBANK,HDFC Bank Ltd.,Financial Services,11.6
HDFCLIFE,HDFC Life Insurance Co. Ltd.,Financial Services,0.45
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,0.8
HINDUNILVR,Hindustan Unilever Ltd.,FMCG,2.6
ICICIBANK,ICICI Bank Ltd.,Financial Services,8.3
ITC,ITC Ltd.,FMCG,3.9
INFY,Infosys Ltd.,Information Technology,5.5
INDIGO,InterGlobe Aviation Ltd.,Services,0.35
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,0.9
JIOFIN,Jio Financial Services Ltd.,Financial Services,0.45
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,2.9
LT,Larsen & Toubro Ltd.,Construction,3.6
M&M,Mahindra & Mahindra Ltd.,Automobile,2.2
MARUTI,Maruti Suzuki India Ltd.,Automobile,1.9
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,0.35
NTPC,NTPC Ltd.,Power,1.6
NESTLEIND,Nestle India Ltd.,FMCG,1.0
ONGC,Oil and Natural Gas Corporation Ltd.,Oil & Gas,1.1
POWERGRID,Power Grid Corporation of India Ltd.,Power,1.3
RELIANCE,Reliance Industries Ltd.,Oil & Gas,9.2
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,0.7
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,0.45
SBIN,State Bank of India,Financial Services,3.2
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1.8
TCS,Tata Consultancy Services Ltd.,Information Technology,4.0
TATACONSUM,Tata Consumer Products Ltd.,FMCG,0.6
TATAMOTORS,Tata Motors Ltd.,Automobile,1.6
TATASTEEL,Tata Steel Ltd.,Metals & Mining,1.0
TECHM,Tech Mahindra Ltd.,Information Technology,0.9
TITAN,Titan Company Ltd.,Consumer Durables,1.3
TRENT,Trent Ltd.,Consumer Durables,0.45
ULTRACEMCO,UltraTech Cement Ltd.,Cement,1.2
WIPRO,Wipro Ltd.,Information Technology,1.0
