date,spot_1000,atm_strike,put_wall,call_wall,M0_rank_only,M0_rank_only_pnl,M0_rank_only_legs,M0_rank_only_credit_pts,M1_plus_gates,M1_plus_gates_pnl,M1_plus_gates_legs,M1_plus_gates_credit_pts,M2_plus_familiarity,M2_plus_familiarity_pnl,M2_plus_familiarity_legs,M2_plus_familiarity_credit_pts,M3_plus_overlay_pnl,overlay_trigger
2026-07-01,23988.1,24000.0,23900.0,24000.0,STAND,0.0,,,STAND,0.0,,,STAND,0.0,,,0.0,
2026-07-02,24125.6,24150.0,24000.0,24500.0,STAND,0.0,,,STAND,0.0,,,STAND,0.0,,,0.0,
2026-07-03,24339.7,24350.0,24000.0,24400.0,STAND,0.0,,,STAND,0.0,,,STAND,0.0,,,0.0,
2026-07-06,24386.8,24400.0,24300.0,24400.0,straddle,8939.0,SC24400@64.3 SP24400@79.8,144.1,straddle,8939.0,SC24400@64.3 SP24400@79.8,144.1,STAND,0.0,,,0.0,
2026-07-08,24245.7,24250.0,24200.0,24500.0,straddle,5874.0,SC24250@131.6 SP24250@161.9,293.5,straddle,5874.0,SC24250@131.6 SP24250@161.9,293.5,STAND,0.0,,,0.0,
2026-07-09,24059.7,24050.0,24000.0,24200.0,straddle,18188.0,SC24050@147.5 SP24050@139.6,287.1,straddle,18188.0,SC24050@147.5 SP24050@139.6,287.1,STAND,0.0,,,0.0,
2026-07-10,24220.8,24200.0,24200.0,24500.0,straddle,5331.0,SC24200@125.6 SP24200@109.6,235.2,straddle,5331.0,SC24200@125.6 SP24200@109.6,235.2,STAND,0.0,,,0.0,
2026-07-13,24124.6,24100.0,24000.0,24500.0,straddle,8864.0,SC24100@94.9 SP24100@94.7,189.6,STAND,0.0,,,STAND,0.0,,,0.0,
2026-07-15,24179.2,24200.0,24100.0,24200.0,straddle,10229.0,SC24200@143.4 SP24200@169.5,312.9,straddle,10229.0,SC24200@143.4 SP24200@169.5,312.9,STAND,0.0,,,0.0,
2026-07-16,24124.0,24100.0,24100.0,24200.0,straddle,3976.0,SC24100@150.8 SP24100@117.8,268.6,straddle,3976.0,SC24100@150.8 SP24100@117.8,268.6,STAND,0.0,,,0.0,
2026-07-17,24221.8,24200.0,24200.0,24500.0,straddle,6540.0,SC24200@121.8 SP24200@134.3,256.1,straddle,6540.0,SC24200@121.8 SP24200@134.3,256.1,straddle,6540.0,SC24200@121.8 SP24200@134.3,256.1,6540.0,
2026-07-20,24187.1,24200.0,24000.0,24200.0,straddle,1623.0,SC24200@73.0 SP24200@107.6,180.6,straddle,1623.0,SC24200@73.0 SP24200@107.6,180.6,STAND,0.0,,,0.0,
2026-07-22,24015.0,24000.0,24000.0,24200.0,straddle,19690.0,SC24000@167.5 SP24000@155.3,322.8,straddle,19690.0,SC24000@167.5 SP24000@155.3,322.8,STAND,0.0,,,0.0,
2026-07-23,23940.9,23950.0,23900.0,24000.0,straddle,14688.0,SC23950@131.4 SP23950@135.1,266.5,straddle,14688.0,SC23950@131.4 SP23950@135.1,266.5,straddle,14688.0,SC23950@131.4 SP23950@135.1,266.5,355.0,07-23T09:50
2026-07-24,23644.5,23650.0,23500.0,24000.0,straddle,-5007.0,SC23650@142.6 SP23650@121.0,263.6,straddle,-5007.0,SC23650@142.6 SP23650@121.0,263.6,STAND,0.0,,,0.0,
2026-07-27,23928.8,23950.0,23900.0,24000.0,strangle,6690.0,SC24000@49.8 SP23900@58.4,108.2,strangle,6690.0,SC24000@49.8 SP23900@58.4,108.2,strangle,6690.0,SC24000@49.8 SP23900@58.4,108.2,6690.0,
2026-07-29,24198.0,24200.0,24000.0,24200.0,straddle,-19898.0,SC24200@141.2 SP24200@132.2,273.4,STAND,0.0,,,STAND,0.0,,,0.0,
2026-07-30,24272.8,24250.0,24200.0,24700.0,strangle,4863.0,SC24700@6.0 SP24200@92.9,98.9,strangle,4863.0,SC24700@6.0 SP24200@92.9,98.9,STAND,0.0,,,0.0,
2026-08-03,24570.3,24550.0,24500.0,24600.0,straddle,599.0,SC24550@77.2 SP24550@52.0,129.2,straddle,599.0,SC24550@77.2 SP24550@52.0,129.2,STAND,0.0,,,0.0,
