date,ckpt_utc,spot,breach,hold,exit,roll_tested,future_hedge,buy_hedge,harvest_winner,best,hold_regret
2026-07-08,07:30,24222.0,,-3342.0,-576.0,,,,,exit,2766.0
2026-07-08,09:50,23963.0,P,-3342.0,-1957.0,1752.0,-9313.0,-16749.0,-3816.0,roll_tested,5094.0
2026-07-09,04:30,24060.0,P,-3342.0,-657.0,1310.0,-3018.0,-12586.0,-3342.0,roll_tested,4652.0
2026-07-09,07:30,24030.0,P,-3342.0,-904.0,1151.0,-4958.0,-13012.0,-3342.0,roll_tested,4493.0
2026-07-09,09:50,23963.0,P,-3342.0,-1528.0,-1222.0,-9313.0,-12004.0,-3342.0,roll_tested,2120.0
2026-07-10,04:30,24221.0,,-3342.0,-79.0,,,,,exit,3263.0
2026-07-10,07:30,24181.0,P,-3342.0,-50.0,-4036.0,4841.0,-1178.0,-3826.0,future_hedge,8182.0
2026-07-10,09:50,24207.0,,-3342.0,119.0,,,,,exit,3461.0
2026-07-13,04:30,24125.0,P,-3342.0,-1015.0,660.0,1204.0,-6547.0,-3758.0,future_hedge,4546.0
2026-07-13,07:30,24211.0,,-3342.0,93.0,,,,,exit,3435.0
2026-07-13,09:50,24211.0,,-3342.0,649.0,,,,,exit,3991.0
2026-07-14,04:30,24074.0,P,-3342.0,-1775.0,-854.0,-2095.0,-6411.0,-3417.0,roll_tested,2488.0
2026-07-14,07:30,24065.0,P,-3342.0,-2705.0,-2249.0,-2667.0,-5537.0,-3374.0,roll_tested,1093.0
2026-07-14,09:50,24052.0,P,-3342.0,-3326.0,-3620.0,-3512.0,-3561.0,-3345.0,exit,16.0
