date,ckpt_utc,spot,breach,hold,exit,roll_tested,future_hedge,buy_hedge,harvest_winner,best,hold_regret
2026-07-23,07:30,23849.0,P,14688.0,-1357.0,3855.0,5639.0,5672.0,11240.0,hold,0.0
2026-07-23,09:50,23767.0,P,14688.0,92.0,5353.0,355.0,9721.0,10746.0,hold,0.0
2026-07-24,04:30,23645.0,P,14688.0,-5839.0,-1605.0,-7634.0,6656.0,14571.0,hold,0.0
2026-07-24,07:30,23795.0,P,14688.0,-35.0,6692.0,2168.0,7391.0,12462.0,hold,0.0
2026-07-24,09:50,23767.0,P,14688.0,684.0,3777.0,355.0,8870.0,13209.0,hold,0.0
2026-07-27,04:30,23929.0,P,14688.0,7086.0,13078.0,10839.0,9286.0,12319.0,hold,0.0
2026-07-27,07:30,23949.0,P,14688.0,8341.0,13244.0,12168.0,10491.0,12367.0,hold,0.0
2026-07-27,09:50,23985.0,C,14688.0,7756.0,14671.0,14518.0,9477.0,12644.0,hold,0.0
2026-07-28,04:30,24011.0,C,14688.0,11106.0,12643.0,12870.0,11840.0,13590.0,hold,0.0
2026-07-28,07:30,24005.0,C,14688.0,12332.0,12984.0,13254.0,12685.0,14110.0,hold,0.0
2026-07-28,09:50,23985.0,C,14688.0,14441.0,14329.0,14518.0,14463.0,14685.0,hold,0.0
