expiry,entry,rank,index_level,atm_strike,put_wall,call_wall,straddle_strikes,straddle_credit_inr,straddle_pnl_inr,straddle_worst_inr,strangle_strikes,strangle_credit_inr,strangle_pnl_inr,strangle_worst_inr,fly_strikes,fly_credit_inr,fly_pnl_inr,fly_worst_inr,condor_strikes,condor_credit_inr,condor_pnl_inr,condor_worst_inr
2026-07-07,2026-07-01,T-4,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP24000@154.25,20924,-5332,-13061,SC24000@167.65 SP23900@111.9,18171,-8085,-15709,SC24000@167.65 SP24000@154.25 LC24100@119.75 LP23900@111.9,5866,-1314,-1629,SC24000@167.65 LC24100@119.75 SP23900@111.9 LP23800@78.35,5294,-1886,-2087
2026-07-07,2026-07-02,T-3,24125.6,24150.0,24000.0,24500.0,SC24150@125.3 SP24150@126.65,16377,-129,-7965,SC24500@17.45 SP24000@68.95,5616,5276,-1412,SC24150@125.3 SP24150@126.65 LC24250@78.8 LP24050@85.0,5730,-1450,-1720,SC24500@17.45 LC24600@8.45 SP24000@68.95 LP23900@44.7,2161,1481,-1002
2026-07-07,2026-07-03,T-2,24339.7,24350.0,24000.0,24400.0,SC24350@101.65 SP24350@102.1,13244,9738,-369,SC24400@77.2 SP24000@18.0,6188,5848,-2222,SC24350@101.65 SP24350@102.1 LC24450@56.65 LP24250@62.9,5473,1627,-1362,SC24400@77.2 LC24500@40.25 SP24000@18.0 LP23900@11.85,2802,2122,-3296
2026-07-07,2026-07-06,T-1,24386.8,24400.0,24300.0,24400.0,SC24400@64.3 SP24400@79.75,9363,8939,-710,SC24400@64.3 SP24300@39.5,6747,6407,-1780,SC24400@64.3 SP24400@79.75 LC24500@26.6 LP24300@39.5,5067,4302,-1161,SC24400@64.3 LC24500@26.6 SP24300@39.5 LP24200@18.65,3806,3126,-2230
2026-07-14,2026-07-08,T-4,24245.7,24250.0,24200.0,24500.0,SC24250@131.6 SP24250@161.95,19081,5874,-15687,SC24500@46.3 SP24200@136.7,11895,1938,-18270,SC24250@131.6 SP24250@161.95 LC24350@89.8 LP24150@115.0,5769,-1411,-1509,SC24500@46.3 LC24600@28.45 SP24200@136.7 LP24100@95.5,3838,-3342,-3449
2026-07-14,2026-07-09,T-3,24059.7,24050.0,24000.0,24200.0,SC24050@147.5 SP24050@139.6,18662,18188,-1159,SC24200@81.45 SP24000@117.95,12961,12621,-1900,SC24050@147.5 SP24050@139.6 LC24150@100.75 LP23950@98.6,5704,4891,-1457,SC24200@81.45 LC24300@52.15 SP24000@117.95 LP23900@82.45,4212,3532,-849
2026-07-14,2026-07-10,T-2,24220.8,24200.0,24200.0,24500.0,SC24200@125.6 SP24200@109.6,15288,5331,-841,SC24500@22.25 SP24200@109.6,8570,-1387,-6401,SC24200@125.6 SP24200@109.6 LC24300@77.1 LP24100@71.15,5652,-1528,-1619,SC24500@22.25 LC24600@10.9 SP24200@109.6 LP24100@71.15,3237,-3943,-4050
2026-07-14,2026-07-13,T-1,24124.6,24100.0,24000.0,24500.0,SC24100@94.9 SP24100@94.65,12321,8864,-4045,SC24500@6.4 SP24000@55.5,4024,3684,-535,SC24100@94.9 SP24100@94.65 LC24200@51.9 LP24000@55.5,5340,1543,-1141,SC24500@6.4 LC24600@0.0 SP24000@55.5 LP23900@30.9,2015,1335,-742
2026-07-21,2026-07-15,T-4,24179.2,24200.0,24100.0,24200.0,SC24200@143.45 SP24200@169.5,20342,17499,-5105,SC24200@143.45 SP24100@124.75,17433,14590,-3892,SC24200@143.45 SP24200@169.5 LC24300@98.65 LP24100@124.75,5821,2638,-859,SC24200@143.45 LC24300@98.65 SP24100@124.75 LP24000@90.2,5158,1975,-911
2026-07-21,2026-07-16,T-3,24124.0,24100.0,24100.0,24200.0,SC24100@150.75 SP24100@117.75,17452,8110,-5855,SC24200@99.85 SP24100@117.75,14144,11302,-4246,SC24100@150.75 SP24100@117.75 LC24200@99.85 LP24000@80.6,5723,-1457,-1203,SC24200@99.85 LC24300@61.3 SP24100@117.75 LP24000@80.6,4921,1738,-1135
