expiry,entry_date,rank,structure,mgmt,spot_entry,atm_strike,put_wall,call_wall,legs,short_put,short_call,wing_width,credit_pts,credit_inr,max_loss_inr,nights_held,first_breach_ts,first_breach_side,overlay_trigger_ts,overlay_trigger_side,overlay_trigger_spot,settle_spot,settle_debit_pts,costs_inr,worst_mark_inr,pnl_inr
2026-07-07,2026-07-01,T-4,condor,hold,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 LC24100@119.75 SP23900@111.9 LP23800@78.35,23900.0,24000.0,100,81.5,5294,1206,4,07-01T04:48,C,,,,24398.7,100.0,680,-2087,-1886
2026-07-07,2026-07-01,T-4,condor,overlay,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 LC24100@119.75 SP23900@111.9 LP23800@78.35,23900.0,24000.0,100,81.5,5294,1206,4,07-01T04:48,C,07-01T09:50,C,24399,24398.7,100.0,850,-21900,-2056
2026-07-07,2026-07-01,T-4,fly,hold,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP24000@154.25 LC24100@119.75 LP23900@111.9,24000.0,24000.0,100,90.2,5866,634,4,07-01T04:31,P,,,,24398.7,100.0,680,-1629,-1314
2026-07-07,2026-07-01,T-4,fly,overlay,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP24000@154.25 LC24100@119.75 LP23900@111.9,24000.0,24000.0,100,90.2,5866,634,4,07-01T04:31,P,07-01T09:50,C,24399,24398.7,100.0,850,-22021,-1484
2026-07-07,2026-07-01,T-4,strangle,hold,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP23900@111.9,23900.0,24000.0,,279.6,18171,,4,07-01T04:48,C,,,,24398.7,398.7,340,-15709,-8085
2026-07-07,2026-07-01,T-4,strangle,overlay,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP23900@111.9,23900.0,24000.0,,279.6,18171,,4,07-01T04:48,C,07-01T09:50,C,24399,24398.7,398.7,510,-19266,-8255
2026-07-07,2026-07-01,T-4,straddle,hold,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP24000@154.25,24000.0,24000.0,,321.9,20924,,4,07-01T04:31,P,,,,24398.7,398.7,340,-13061,-5332
2026-07-07,2026-07-01,T-4,straddle,overlay,23988.1,24000.0,23900.0,24000.0,SC24000@167.65 SP24000@154.25,24000.0,24000.0,,321.9,20924,,4,07-01T04:31,P,07-01T09:50,C,24399,24398.7,398.7,510,-18434,-5502
2026-07-07,2026-07-02,T-3,condor,hold,24125.6,24150.0,24000.0,24500.0,SC24500@17.45 LC24600@8.45 SP24000@68.95 LP23900@44.7,24000.0,24500.0,100,33.2,2161,4339,3,07-07T04:52,C,,,,24398.7,0.0,680,-1002,1481
2026-07-07,2026-07-02,T-3,condor,overlay,24125.6,24150.0,24000.0,24500.0,SC24500@17.45 LC24600@8.45 SP24000@68.95 LP23900@44.7,24000.0,24500.0,100,33.2,2161,4339,3,07-07T04:52,C,,,,24398.7,0.0,680,-1002,1481
2026-07-07,2026-07-02,T-3,fly,hold,24125.6,24150.0,24000.0,24500.0,SC24150@125.3 SP24150@126.65 LC24250@78.8 LP24050@85.0,24150.0,24150.0,100,88.1,5730,770,3,07-02T04:31,P,,,,24398.7,100.0,680,-1720,-1450
2026-07-07,2026-07-02,T-3,fly,overlay,24125.6,24150.0,24000.0,24500.0,SC24150@125.3 SP24150@126.65 LC24250@78.8 LP24050@85.0,24150.0,24150.0,100,88.1,5730,770,3,07-02T04:31,P,07-02T09:50,C,24399,24398.7,100.0,850,-9956,-1620
2026-07-07,2026-07-02,T-3,strangle,hold,24125.6,24150.0,24000.0,24500.0,SC24500@17.45 SP24000@68.95,24000.0,24500.0,,86.4,5616,,3,07-07T04:52,C,,,,24398.7,0.0,340,-1412,5276
2026-07-07,2026-07-02,T-3,strangle,overlay,24125.6,24150.0,24000.0,24500.0,SC24500@17.45 SP24000@68.95,24000.0,24500.0,,86.4,5616,,3,07-07T04:52,C,,,,24398.7,0.0,340,-1412,5276
2026-07-07,2026-07-02,T-3,straddle,hold,24125.6,24150.0,24000.0,24500.0,SC24150@125.3 SP24150@126.65,24150.0,24150.0,,251.9,16377,,3,07-02T04:31,P,,,,24398.7,248.7,340,-7965,-129
