expiry,entry,spot,atm_straddle_pts,straddle_chg_30m_pct,pcr,put_wall,call_wall,put_wall_dist_pts,call_wall_dist_pts,coverage_ratio,pin_share,oi_std_pts,d_pcr_1d,put_wall_migration_pts,call_wall_migration_pts,condor_pnl,condor_worst,condor_kp,condor_kc,fly_pnl,fly_worst,strangle_pnl,strangle_worst,straddle_pnl,straddle_worst,best_structure
2026-07-07,2026-07-01,23988.1,321.9,-2.41,0.96,23900.0,24000.0,88.0,12.0,0.05,0.16,259.0,,,,-1886.0,-2087.0,23900.0,24000.0,-1314.0,-1629.0,-8085.0,-15709.0,-5332.0,-13061.0,fly
2026-07-07,2026-07-02,24125.6,251.9,-4.31,0.932,24000.0,24500.0,126.0,374.0,0.62,0.159,254.0,-0.028,100.0,500.0,1481.0,-1002.0,24000.0,24500.0,-1450.0,-1720.0,5276.0,-1412.0,-129.0,-7965.0,strangle
2026-07-07,2026-07-03,24339.7,203.8,-1.43,1.2,24000.0,24400.0,340.0,60.0,0.37,0.113,245.0,0.268,0.0,-100.0,2122.0,-3296.0,24000.0,24400.0,1627.0,-1362.0,5848.0,-2222.0,9738.0,-369.0,straddle
2026-07-07,2026-07-06,24386.75,144.1,-0.35,1.331,24300.0,24400.0,87.0,13.0,0.11,0.122,247.0,0.131,300.0,0.0,3126.0,-2230.0,24300.0,24400.0,4302.0,-1161.0,6407.0,-1780.0,8939.0,-710.0,straddle
2026-07-14,2026-07-08,24245.7,293.5,-3.1,1.061,24200.0,24500.0,46.0,254.0,0.19,0.107,318.0,,,,-3342.0,-3449.0,24200.0,24500.0,-1411.0,-1509.0,1938.0,-18270.0,5874.0,-15687.0,straddle
2026-07-14,2026-07-09,24059.65,287.1,-4.9,1.111,24000.0,24200.0,60.0,140.0,0.26,0.13,266.0,0.05,-200.0,-300.0,3532.0,-849.0,24000.0,24200.0,4891.0,-1457.0,12621.0,-1900.0,18188.0,-1159.0,straddle
2026-07-14,2026-07-10,24220.85,235.2,-0.74,1.18,24200.0,24500.0,21.0,279.0,0.11,0.134,264.0,0.069,200.0,300.0,-3943.0,-4050.0,24200.0,24500.0,-1528.0,-1619.0,-1387.0,-6401.0,5331.0,-841.0,straddle
2026-07-14,2026-07-13,24124.6,189.6,8.16,1.472,24000.0,24500.0,125.0,375.0,0.82,0.146,242.0,0.292,-200.0,0.0,1335.0,-742.0,24000.0,24500.0,1543.0,-1141.0,3684.0,-535.0,8864.0,-4045.0,straddle
2026-07-21,2026-07-15,24179.15,312.9,-3.74,1.155,24100.0,24200.0,79.0,21.0,0.08,0.151,243.0,,,,207.0,-911.0,24100.0,24200.0,41.0,-859.0,8877.0,-3892.0,10229.0,-5105.0,straddle
2026-07-21,2026-07-16,24124.05,268.5,-0.04,0.733,24100.0,24200.0,24.0,76.0,0.11,0.134,234.0,-0.422,0.0,0.0,-30.0,-1135.0,24100.0,24200.0,-605.0,-1203.0,5588.0,-4246.0,3976.0,-5855.0,strangle
