"# full pairwise Pearson correlations — 25 sessions, blank = n<8 or constant"
variable,atm_straddle_pts,automobile_lead_pct,bhartiartl_morning_pct,call_wall,call_wall_dist_pts,call_wall_migration_pts,capital_goods_lead_pct,cement_lead_pct,chop_index,condor_kc,condor_kp,condor_pnl,condor_worst,construction_lead_pct,consumer_durables_lead_pct,consumer_services_lead_pct,cov_adj_premium,coverage_ratio,crush_excess_pct,cs_atm_straddle_pts,cs_call_wall_dist_pts,cs_coverage_ratio,cs_oi_std_pts,cs_pcr,cs_pin_share,cs_put_wall_dist_pts,cs_straddle_chg_30m_pct,d_pcr_1d,day_range_pts,day_ret_1000_close_pct,er30,financial_services_lead_pct,fly_pnl,fly_worst,fmcg_lead_pct,hdfcbank_morning_pct,healthcare_lead_pct,icicibank_morning_pct,information_technology_lead_pct,infy_morning_pct,metals_and_mining_lead_pct,next_gap_big,next_gap_pct,oi_std_pts,oil_and_gas_lead_pct,overnight_gap_pct,pcr,pin_share,power_lead_pct,prev_day_ret_pct,put_wall,put_wall_dist_pts,put_wall_migration_pts,reliance_morning_pct,ret_open_to_1000_pct,services_lead_pct,spot,spot_1000,straddle_chg_30m_pct,straddle_exp_close_pct,straddle_pnl,straddle_worst,strangle_pnl,strangle_worst,telecommunication_lead_pct
atm_straddle_pts,1.0,0.17,-0.04,-0.33,0.11,0.03,0.43,0.14,-0.26,-0.33,-0.36,-0.18,-0.15,0.17,-0.0,-0.19,0.63,-0.22,0.28,1.0,0.11,-0.25,0.41,-0.18,0.25,-0.21,-0.16,-0.03,0.25,-0.2,0.08,-0.01,-0.16,-0.17,-0.13,-0.08,0.06,-0.06,-0.42,-0.38,0.0,-0.0,0.01,0.55,0.05,-0.09,-0.19,0.29,0.12,-0.48,-0.36,0.27,-0.6,0.03,-0.08,0.09,-0.45,-0.42,0.49,0.7,0.04,-0.59,0.02,-0.53,-0.02
automobile_lead_pct,0.17,1.0,-0.11,-0.18,0.01,0.17,-0.15,0.17,0.06,-0.18,0.03,-0.22,-0.19,0.13,-0.18,-0.05,0.36,-0.46,-0.27,0.26,-0.14,-0.54,-0.02,-0.15,0.36,-0.32,-0.08,-0.08,-0.39,0.04,-0.08,-0.11,-0.2,-0.19,0.08,-0.06,-0.37,-0.03,-0.07,-0.02,-0.05,0.41,-0.04,0.05,0.19,0.08,-0.21,0.25,-0.17,0.08,0.03,-0.19,0.19,0.21,0.17,-0.1,-0.09,-0.09,0.18,0.04,-0.24,-0.24,-0.22,-0.29,-0.15
bhartiartl_morning_pct,-0.04,-0.11,1.0,-0.28,-0.36,-0.6,-0.04,0.05,0.12,-0.28,-0.15,-0.14,-0.24,0.17,0.06,0.45,0.06,-0.19,-0.24,0.08,-0.34,-0.32,0.14,-0.09,0.08,0.23,-0.39,-0.07,-0.08,-0.2,-0.26,-0.31,0.02,-0.25,-0.01,-0.02,0.46,-0.02,-0.42,-0.45,0.18,-0.1,0.17,0.03,0.21,-0.17,-0.05,0.05,0.28,-0.17,-0.15,0.25,-0.28,0.17,-0.15,-0.18,-0.06,-0.1,-0.42,-0.31,0.04,-0.03,-0.18,-0.24,0.97
call_wall,-0.33,-0.18,-0.28,1.0,0.49,0.7,0.13,-0.19,0.19,1.0,0.73,-0.06,0.07,-0.12,-0.66,-0.28,-0.39,0.24,0.17,-0.33,0.49,0.24,0.18,0.28,-0.12,0.01,0.21,0.26,0.13,0.03,-0.18,0.2,-0.06,0.09,-0.15,0.18,-0.34,0.2,0.11,0.13,0.34,0.47,0.08,0.18,-0.02,0.25,0.28,-0.12,0.15,0.55,0.73,0.01,0.44,-0.03,0.23,-0.2,0.75,0.75,0.21,0.14,-0.08,0.15,-0.03,0.22,-0.33
call_wall_dist_pts,0.11,0.01,-0.36,0.49,1.0,0.65,-0.1,-0.23,-0.17,0.49,-0.14,0.17,0.24,-0.19,-0.26,-0.31,-0.35,0.61,-0.21,0.11,1.0,0.67,0.34,0.14,-0.11,-0.16,0.38,0.13,0.12,0.14,0.23,0.16,0.01,0.18,-0.17,0.02,-0.17,0.05,0.31,0.29,0.14,0.42,0.08,0.39,0.05,-0.29,0.06,-0.17,-0.0,0.11,-0.14,-0.12,-0.24,0.05,0.1,0.04,-0.21,-0.16,0.41,0.1,-0.06,-0.1,0.22,0.27,-0.36
call_wall_migration_pts,0.03,0.17,-0.6,0.7,0.65,1.0,-0.18,-0.42,-0.14,0.7,0.37,-0.35,-0.03,-0.48,-0.33,-0.36,-0.13,0.21,0.21,0.03,0.65,0.2,0.19,-0.16,0.28,-0.26,0.1,-0.04,-0.31,0.35,-0.01,0.14,-0.64,-0.45,0.23,0.12,-0.56,-0.11,0.49,0.53,0.3,0.5,0.17,0.19,-0.07,0.32,-0.16,0.28,-0.27,0.38,0.37,-0.26,0.5,-0.08,0.22,-0.27,0.28,0.28,0.1,0.26,-0.62,-0.38,-0.34,0.17,-0.63
capital_goods_lead_pct,0.43,-0.15,-0.04,0.13,-0.1,-0.18,1.0,0.29,-0.04,0.13,0.31,0.41,0.41,0.11,0.13,-0.28,0.22,-0.17,0.26,-0.24,-0.25,-0.21,0.01,0.45,-0.51,0.05,-0.06,0.25,0.14,-0.05,0.13,0.25,0.56,0.58,-0.27,0.13,0.13,0.21,-0.7,-0.64,0.29,-0.14,-0.23,0.36,0.13,0.16,0.24,-0.31,0.39,-0.22,0.31,0.22,0.25,0.09,-0.01,0.33,0.34,0.13,0.41,0.57,0.48,0.61,0.35,0.35,-0.03
cement_lead_pct,0.14,0.17,0.05,-0.19,-0.23,-0.42,0.29,1.0,0.19,-0.19,0.02,0.02,0.02,0.11,-0.07,0.28,0.08,-0.22,0.11,0.14,-0.42,-0.32,0.28,0.4,-0.28,0.2,-0.42,0.19,0.01,-0.29,-0.05,0.35,0.22,0.16,-0.15,0.08,0.01,0.45,-0.46,-0.35,0.0,-0.2,-0.01,0.26,-0.12,0.3,0.32,-0.1,-0.23,-0.24,0.02,0.22,-0.03,-0.02,0.18,0.48,0.1,0.1,0.03,0.21,0.23,0.2,-0.03,-0.14,0.0
chop_index,-0.26,0.06,0.12,0.19,-0.17,-0.14,-0.04,0.19,1.0,0.19,0.49,0.05,-0.03,-0.01,-0.14,0.14,-0.28,-0.19,0.05,-0.29,-0.44,-0.38,-0.23,-0.33,-0.02,0.09,-0.54,-0.21,-0.07,-0.04,-0.76,0.09,0.07,-0.05,-0.01,-0.09,-0.02,-0.13,-0.08,-0.09,0.01,0.15,0.1,-0.13,-0.17,0.39,-0.19,-0.04,-0.06,-0.05,0.49,0.1,0.43,-0.28,-0.28,-0.24,0.54,0.4,-0.19,0.03,0.1,0.25,0.13,0.14,0.18
condor_kc,-0.33,-0.18,-0.28,1.0,0.49,0.7,0.13,-0.19,0.19,1.0,0.73,-0.06,0.07,-0.12,-0.66,-0.28,-0.39,0.24,0.17,-0.33,0.49,0.24,0.18,0.28,-0.12,0.01,0.21,0.26,0.13,0.03,-0.18,0.2,-0.06,0.09,-0.15,0.18,-0.34,0.2,0.11,0.13,0.34,0.47,0.08,0.18,-0.02,0.25,0.28,-0.12,0.15,0.55,0.73,0.01,0.44,-0.03,0.23,-0.2,0.75,0.75,0.21,0.14,-0.08,0.15,-0.03,0.22,-0.33
