expiry,entry,rank,structure,mgmt,pnl
2026-07-07,2026-07-01,T-4,condor,hold,-1886
2026-07-07,2026-07-01,T-4,condor,overlay,-2056
2026-07-07,2026-07-01,T-4,fly,hold,-1314
2026-07-07,2026-07-01,T-4,fly,overlay,-1484
2026-07-07,2026-07-01,T-4,strangle,hold,-8085
2026-07-07,2026-07-01,T-4,strangle,overlay,-8255
2026-07-07,2026-07-01,T-4,straddle,hold,-5332
2026-07-07,2026-07-01,T-4,straddle,overlay,-5502
2026-07-07,2026-07-02,T-3,condor,hold,1481
2026-07-07,2026-07-02,T-3,condor,overlay,1481
2026-07-07,2026-07-02,T-3,fly,hold,-1450
2026-07-07,2026-07-02,T-3,fly,overlay,-1620
2026-07-07,2026-07-02,T-3,strangle,hold,5276
2026-07-07,2026-07-02,T-3,strangle,overlay,5276
2026-07-07,2026-07-02,T-3,straddle,hold,-129
2026-07-07,2026-07-02,T-3,straddle,overlay,-299
2026-07-07,2026-07-03,T-2,condor,hold,2122
2026-07-07,2026-07-03,T-2,condor,overlay,2122
2026-07-07,2026-07-03,T-2,fly,hold,1627
2026-07-07,2026-07-03,T-2,fly,overlay,1457
2026-07-07,2026-07-03,T-2,strangle,hold,5848
2026-07-07,2026-07-03,T-2,strangle,overlay,5848
2026-07-07,2026-07-03,T-2,straddle,hold,9738
2026-07-07,2026-07-03,T-2,straddle,overlay,9568
2026-07-07,2026-07-06,T-1,condor,hold,3126
2026-07-07,2026-07-06,T-1,condor,overlay,3126
2026-07-07,2026-07-06,T-1,fly,hold,4302
2026-07-07,2026-07-06,T-1,fly,overlay,4132
2026-07-07,2026-07-06,T-1,strangle,hold,6407
2026-07-07,2026-07-06,T-1,strangle,overlay,6407
2026-07-07,2026-07-06,T-1,straddle,hold,8939
2026-07-07,2026-07-06,T-1,straddle,overlay,8769
2026-07-14,2026-07-08,T-4,condor,hold,-3342
2026-07-14,2026-07-08,T-4,condor,overlay,-9313
2026-07-14,2026-07-08,T-4,fly,hold,-1411
2026-07-14,2026-07-08,T-4,fly,overlay,-7383
2026-07-14,2026-07-08,T-4,strangle,hold,1938
2026-07-14,2026-07-08,T-4,strangle,overlay,-4033
2026-07-14,2026-07-08,T-4,straddle,hold,5874
2026-07-14,2026-07-08,T-4,straddle,overlay,-97
2026-07-14,2026-07-09,T-3,condor,hold,3532
2026-07-14,2026-07-09,T-3,condor,overlay,-2439
2026-07-14,2026-07-09,T-3,fly,hold,4891
2026-07-14,2026-07-09,T-3,fly,overlay,-1081
2026-07-14,2026-07-09,T-3,strangle,hold,12621
2026-07-14,2026-07-09,T-3,strangle,overlay,6650
2026-07-14,2026-07-09,T-3,straddle,hold,18188
2026-07-14,2026-07-09,T-3,straddle,overlay,12217
2026-07-14,2026-07-10,T-2,condor,hold,-3943
2026-07-14,2026-07-10,T-2,condor,overlay,603
2026-07-14,2026-07-10,T-2,fly,hold,-1528
2026-07-14,2026-07-10,T-2,fly,overlay,3017
2026-07-14,2026-07-10,T-2,strangle,hold,-1387
2026-07-14,2026-07-10,T-2,strangle,overlay,3159
2026-07-14,2026-07-10,T-2,straddle,hold,5331
2026-07-14,2026-07-10,T-2,straddle,overlay,9877
2026-07-14,2026-07-13,T-1,condor,hold,1335
2026-07-14,2026-07-13,T-1,condor,overlay,1335
2026-07-14,2026-07-13,T-1,fly,hold,1543
2026-07-14,2026-07-13,T-1,fly,overlay,1543
2026-07-14,2026-07-13,T-1,strangle,hold,3684
2026-07-14,2026-07-13,T-1,strangle,overlay,3684
2026-07-14,2026-07-13,T-1,straddle,hold,8864
2026-07-14,2026-07-13,T-1,straddle,overlay,8864
2026-07-21,2026-07-15,T-4,condor,hold,1975
2026-07-21,2026-07-15,T-4,condor,overlay,-9121
2026-07-21,2026-07-15,T-4,fly,hold,2638
2026-07-21,2026-07-15,T-4,fly,overlay,-8458
2026-07-21,2026-07-15,T-4,strangle,hold,14590
2026-07-21,2026-07-15,T-4,strangle,overlay,3494
2026-07-21,2026-07-15,T-4,straddle,hold,17499
2026-07-21,2026-07-15,T-4,straddle,overlay,6403
2026-07-21,2026-07-16,T-3,condor,hold,1738
2026-07-21,2026-07-16,T-3,condor,overlay,1738
2026-07-21,2026-07-16,T-3,fly,hold,-1457
2026-07-21,2026-07-16,T-3,fly,overlay,-1457
2026-07-21,2026-07-16,T-3,strangle,hold,11302
2026-07-21,2026-07-16,T-3,strangle,overlay,11302
2026-07-21,2026-07-16,T-3,straddle,hold,8110
2026-07-21,2026-07-16,T-3,straddle,overlay,8110
2026-07-21,2026-07-17,T-2,condor,hold,2817
2026-07-21,2026-07-17,T-2,condor,overlay,2817
2026-07-21,2026-07-17,T-2,fly,hold,2485
2026-07-21,2026-07-17,T-2,fly,overlay,2485
2026-07-21,2026-07-17,T-2,strangle,hold,9959
2026-07-21,2026-07-17,T-2,strangle,overlay,9959
2026-07-21,2026-07-17,T-2,straddle,hold,13810
2026-07-21,2026-07-17,T-2,straddle,overlay,13810
2026-07-21,2026-07-20,T-1,condor,hold,162
2026-07-21,2026-07-20,T-1,condor,overlay,162
2026-07-21,2026-07-20,T-1,fly,hold,2170
2026-07-21,2026-07-20,T-1,fly,overlay,2170
2026-07-21,2026-07-20,T-1,strangle,hold,3950
2026-07-21,2026-07-20,T-1,strangle,overlay,3950
2026-07-21,2026-07-20,T-1,straddle,hold,8893
2026-07-21,2026-07-20,T-1,straddle,overlay,8893
2026-07-28,2026-07-22,T-4,condor,hold,3005
2026-07-28,2026-07-22,T-4,condor,overlay,-19317
2026-07-28,2026-07-22,T-4,fly,hold,4257
2026-07-28,2026-07-22,T-4,fly,overlay,-18065
2026-07-28,2026-07-22,T-4,strangle,hold,14187
2026-07-28,2026-07-22,T-4,strangle,overlay,-8135
2026-07-28,2026-07-22,T-4,straddle,hold,19690
2026-07-28,2026-07-22,T-4,straddle,overlay,-2632
2026-07-28,2026-07-23,T-3,condor,hold,4182
2026-07-28,2026-07-23,T-3,condor,overlay,-18140
2026-07-28,2026-07-23,T-3,fly,hold,2729
2026-07-28,2026-07-23,T-3,fly,overlay,-19593
2026-07-28,2026-07-23,T-3,strangle,hold,13918
2026-07-28,2026-07-23,T-3,strangle,overlay,-8404
2026-07-28,2026-07-23,T-3,straddle,hold,14688
2026-07-28,2026-07-23,T-3,straddle,overlay,-7634
2026-07-28,2026-07-24,T-2,condor,hold,1569
2026-07-28,2026-07-24,T-2,condor,overlay,1569
2026-07-28,2026-07-24,T-2,fly,hold,-1515
2026-07-28,2026-07-24,T-2,fly,overlay,-1515
2026-07-28,2026-07-24,T-2,strangle,hold,5842
2026-07-28,2026-07-24,T-2,strangle,overlay,5842
2026-07-28,2026-07-24,T-2,straddle,hold,-5007
2026-07-28,2026-07-24,T-2,straddle,overlay,-5007
2026-07-28,2026-07-27,T-1,condor,hold,3022
2026-07-28,2026-07-27,T-1,condor,overlay,3022
2026-07-28,2026-07-27,T-1,fly,hold,2066
2026-07-28,2026-07-27,T-1,fly,overlay,2066
2026-07-28,2026-07-27,T-1,strangle,hold,6690
2026-07-28,2026-07-27,T-1,strangle,overlay,6690
2026-07-28,2026-07-27,T-1,straddle,hold,7262
2026-07-28,2026-07-27,T-1,straddle,overlay,7262
2026-08-04,2026-07-29,T-4,condor,hold,-2685
2026-08-04,2026-07-29,T-4,condor,overlay,26859
2026-08-04,2026-07-29,T-4,fly,hold,-1454
2026-08-04,2026-07-29,T-4,fly,overlay,28091
2026-08-04,2026-07-29,T-4,strangle,hold,-24393
2026-08-04,2026-07-29,T-4,strangle,overlay,5151
2026-08-04,2026-07-29,T-4,straddle,hold,-19898
2026-08-04,2026-07-29,T-4,straddle,overlay,9646
2026-08-04,2026-07-30,T-3,condor,hold,-3153
2026-08-04,2026-07-30,T-3,condor,overlay,-3323
2026-08-04,2026-07-30,T-3,fly,hold,-1554
2026-08-04,2026-07-30,T-3,fly,overlay,27990
2026-08-04,2026-07-30,T-3,strangle,hold,1262
2026-08-04,2026-07-30,T-3,strangle,overlay,1092
2026-08-04,2026-07-30,T-3,straddle,hold,-19330
2026-08-04,2026-07-30,T-3,straddle,overlay,10215
2026-08-04,2026-07-31,T-2,condor,hold,-4460
2026-08-04,2026-07-31,T-2,condor,overlay,-4630
2026-08-04,2026-07-31,T-2,fly,hold,-1726
2026-08-04,2026-07-31,T-2,fly,overlay,-1896
2026-08-04,2026-07-31,T-2,strangle,hold,-19040
2026-08-04,2026-07-31,T-2,strangle,overlay,-19210
2026-08-04,2026-07-31,T-2,straddle,hold,-15374
2026-08-04,2026-07-31,T-2,straddle,overlay,-15544
2026-08-04,2026-08-03,T-1,condor,hold,-3884
2026-08-04,2026-08-03,T-1,condor,overlay,-4054
2026-08-04,2026-08-03,T-1,fly,hold,-2373
2026-08-04,2026-08-03,T-1,fly,overlay,-2543
2026-08-04,2026-08-03,T-1,strangle,hold,-6086
2026-08-04,2026-08-03,T-1,strangle,overlay,-6256
2026-08-04,2026-08-03,T-1,straddle,hold,-6521
2026-08-04,2026-08-03,T-1,straddle,overlay,-6691
