expiry,entry,entry_rank,hold_pnl,hold_worst,cycle25_pnl,cycle25_n,cycle25_worst,cycle50_pnl,cycle50_n,cycle50_worst
2026-07-07,2026-07-01,T-4,-5332,-13061,-5332,1,-13061,-5332,1,-13061
2026-07-07,2026-07-02,T-3,-129,-7965,-129,1,-7965,-129,1,-7965
2026-07-07,2026-07-03,T-2,9738,-369,6818,5,-369,6197,2,-369
2026-07-07,2026-07-06,T-1,8939,-710,3580,4,-710,4221,2,-710
2026-07-14,2026-07-08,T-4,5874,-15687,9629,5,-15687,11096,3,-15687
2026-07-14,2026-07-09,T-3,18188,-1159,11911,5,-1159,12884,3,-1159
2026-07-14,2026-07-10,T-2,5331,-841,6430,4,-841,9296,3,-841
2026-07-14,2026-07-13,T-1,8864,-4045,5407,4,-4045,7703,3,-4045
2026-07-21,2026-07-15,T-4,17499,-5105,15134,2,-5105,18284,2,-5105
2026-07-21,2026-07-16,T-3,8110,-5855,12990,2,-5855,8110,1,-5855
2026-07-21,2026-07-17,T-2,13810,-3350,12808,2,-3350,13810,1,-3350
2026-07-21,2026-07-20,T-1,8893,-291,8893,1,-291,8893,1,-291
2026-07-28,2026-07-22,T-4,19690,-6161,14020,5,-6161,15806,4,-6161
2026-07-28,2026-07-23,T-3,14688,-7480,10374,5,-7480,12113,3,-7480
2026-07-28,2026-07-24,T-2,-5007,-9368,-5007,1,-9368,-5007,1,-9368
2026-07-28,2026-07-27,T-1,7262,-857,4262,4,-857,5642,3,-857
2026-08-04,2026-07-29,T-4,-19898,-19898,-19898,1,-19898,-19898,1,-19898
2026-08-04,2026-07-30,T-3,-19330,-8930,-19330,1,-8930,-19330,1,-8930
2026-08-04,2026-07-31,T-2,-15374,-5410,-15374,1,-5410,-15374,1,-5410
2026-08-04,2026-08-03,T-1,-6521,-867,-6521,1,-867,-6521,1,-867

# SUMMARY (1 lot ATM straddle, ₹85/leg; each row = ONE independent experiment)
# research total (20 overlapping entries — NOT a tradeable book): hold=75295 cycle25=50665 cycle50=62464
# ONE-position sequence, T-4 entry each expiry (implementable): hold=17833 over 5 weeks, worst week=-19898
# ONE-position sequence, T-1 entry each expiry (implementable): hold=27437 over 5 weeks, worst week=-6521
